Commune;Codepos;Departement;INSEE
AJOUX;7000;ARDECHE;7004
COUX;7000;ARDECHE;7072
CREYSSEILLES;7000;ARDECHE;7074
FLAVIAC;7000;ARDECHE;7090
FREYSSENET;7000;ARDECHE;7092
GOURDON;7000;ARDECHE;7098
LYAS;7000;ARDECHE;7146
POURCHERES;7000;ARDECHE;7179
PRANLES;7000;ARDECHE;7184
PRIVAS;7000;ARDECHE;7186
ST JULIEN EN ST ALBAN;7000;ARDECHE;7255
ST PRIEST;7000;ARDECHE;7288
VEYRAS;7000;ARDECHE;7340
ANNONAY;7100;ARDECHE;7010
BOULIEU LES ANNONAY;7100;ARDECHE;7041
ROIFFIEUX;7100;ARDECHE;7197
ST MARCEL LES ANNONAY;7100;ARDECHE;7265
BEAUMONT;7110;ARDECHE;7029
CHASSIERS;7110;ARDECHE;7058
CHAZEAUX;7110;ARDECHE;7062
JOANNAS;7110;ARDECHE;7109
LABOULE;7110;ARDECHE;7118
LARGENTIERE;7110;ARDECHE;7132
LAURAC EN VIVARAIS;7110;ARDECHE;7134
LOUBARESSE;7110;ARDECHE;7144
MONTREAL;7110;ARDECHE;7162
PRUNET;7110;ARDECHE;7187
ROCHER;7110;ARDECHE;7193
ROCLES;7110;ARDECHE;7196
SANILHAC;7110;ARDECHE;7307
TAURIERS;7110;ARDECHE;7318
UZER;7110;ARDECHE;7327
VALGORGE;7110;ARDECHE;7329
VINEZAC;7110;ARDECHE;7343
AURIOLLES;7120;ARDECHE;7021
BALAZUC;7120;ARDECHE;7023
CHAUZON;7120;ARDECHE;7061
GROSPIERRES;7120;ARDECHE;7101
LABEAUME;7120;ARDECHE;7115
PRADONS;7120;ARDECHE;7183
RUOMS;7120;ARDECHE;7201
ST ALBAN AURIOLLES;7120;ARDECHE;7207
SAMPZON;7120;ARDECHE;7306
CHATEAUBOURG;7130;ARDECHE;7059
CORNAS;7130;ARDECHE;7070
ST PERAY;7130;ARDECHE;7281
ST ROMAIN DE LERPS;7130;ARDECHE;7293
SOYONS;7130;ARDECHE;7316
TOULAUD;7130;ARDECHE;7323
LES ASSIONS;7140;ARDECHE;7017
BRAHIC;7140;ARDECHE;7043
CHAMBONAS;7140;ARDECHE;7050
CHASSAGNES;7140;ARDECHE;7057
GRAVIERES;7140;ARDECHE;7100
LAFIGERE;7140;ARDECHE;7125
MALARCE SUR LA THINES;7140;ARDECHE;7147
MALBOSC;7140;ARDECHE;7148
MONTSELGUES;7140;ARDECHE;7163
NAVES;7140;ARDECHE;7164
ST JEAN DE POURCHARESSE;7140;ARDECHE;7246
